순위,단계,보스,사도1,사도2,사도3,사도4,사도5,사도6,사도7,사도8,사도9
1,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),우로스(광기),롤렛,스키아
2,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),우로스(광기),롤렛,스키아
3,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),우로스(광기),롤렛,스키아
4,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
5,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
6,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
7,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
8,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,티그(영웅),우로스(광기),롤렛,스키아
9,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
10,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
11,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
12,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
13,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),롤렛
14,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
15,27,크레용사용-순수,실비아,벨라,네르,에르핀(왕도),리뉴아,아네트,티그(영웅),우로스(광기),스키아
